户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室2厅,高楼层/共26层,74平米,暂无数据/精装,63.8,邦泰临港国际,翠屏区,,,,,8622
1室1厅,高楼层/共27层,46.72平米,暂无数据/精装,37.0,邦泰临港国际,翠屏区,,,,,7920
4室2厅,低楼层/共17层,124平米,暂无数据/精装,120.0,龙源府邸,叙州区,,,,,9678
3室2厅,中楼层/共6层,120平米,暂无数据/其他,98.8,莱茵河畔-玫瑰花园,叙州区,,,,,8234
3室2厅,中楼层/共28层,103.27平米,暂无数据/其他,89.0,浩誉江语城,翠屏区,,,,,8619
3室2厅,中楼层/共32层,133平米,暂无数据/精装,88.0,鑫领寓,叙州区,,,,,6617
2室1厅,中楼层/共13层,77.8平米,暂无数据/其他,51.8,德烨都市名园,翠屏区,,,,,6659
3室2厅,低楼层/共26层,100.11平米,暂无数据/毛坯,85.0,正黄翡翠堂,叙州区,,,,,8491
2室2厅,高楼层/共19层,132.27平米,暂无数据/其他,56.8,北大街,翠屏区,,,,,4295
3室2厅,低楼层/共32层,129.03平米,暂无数据/毛坯,120.0,华润公园九里,翠屏区,,,,,9301
2室2厅,高楼层/共24层,77平米,暂无数据/毛坯,56.8,绿地上海枫林公馆,叙州区,,,,,7377
1室1厅,高楼层/共7层,47平米,暂无数据/简装,16.8,宜宾翠屏区古塔小区,翠屏区,,,,,3575
3室2厅,高楼层/共18层,90.38平米,暂无数据/其他,50.0,东原观天下,叙州区,,,,,5533
2室1厅,高楼层/共17层,89平米,暂无数据/简装,50.8,鼎业兴城,叙州区,,,,,5708
4室2厅,中楼层/共7层,138.03平米,暂无数据/简装,71.8,绿洲家园二期,叙州区,,,,,5202
2室2厅,高楼层/共26层,71平米,暂无数据/简装,70.0,鲁能山水原著荟,叙州区,,,,,9860
3室2厅,低楼层/共32层,82.88平米,暂无数据/毛坯,55.0,远达未来城三期兰庭,叙州区,,,,,6637
3室2厅,低楼层/共11层,131.02平米,暂无数据/精装,65.0,吉祥名都,叙州区,,,,,4962
4室2厅,低楼层/共33层,105.06平米,暂无数据/精装,69.8,远达香榭里五期,叙州区,,,,,6644
2室2厅,中楼层/共6层,83平米,暂无数据/精装,38.0,银龙天池雅苑,翠屏区,,,,,4579
3室2厅,低楼层/共25层,124平米,暂无数据/精装,69.8,太阳岛,翠屏区,,,,,5630
3室2厅,低楼层/共39层,92平米,暂无数据/精装,59.8,骏逸江南,叙州区,,,,,6500
4室2厅,高楼层/共32层,119平米,暂无数据/其他,65.0,远达未来城四期峯汇,叙州区,,,,,5463
3室1厅,高楼层/共30层,111.64平米,暂无数据/精装,124.8,华润公园九里三期,翠屏区,,,,,11179
4室2厅,中楼层/共17层,227平米,暂无数据/其他,163.0,正和五洲庄园,翠屏区,,,,,7181
3室2厅,低楼层/共27层,89平米,暂无数据/其他,68.0,宜宾观江府,翠屏区,,,,,7641
3室2厅,中楼层/共24层,84.77平米,暂无数据/其他,75.8,邦泰国际社区南区,翠屏区,,,,,8942
4室2厅,中楼层/共18层,123平米,暂无数据/毛坯,85.0,碧桂园江山赋,翠屏区,,,,,6911
3室2厅,高楼层/共30层,118.95平米,暂无数据/毛坯,137.0,天鹅堡二期,叙州区,,,,,11518
3室2厅,高楼层/共26层,139平米,暂无数据/精装,152.8,鲁能公馆,叙州区,,,,,10993
3室2厅,高楼层/共14层,89.9平米,暂无数据/精装,86.8,邦泰国际社区南区,翠屏区,,,,,9656
3室2厅,中楼层/共7层,132平米,暂无数据/其他,82.8,爱尔楠岸,叙州区,,,,,6273
3室2厅,中楼层/共28层,116.54平米,暂无数据/简装,70.8,长江国际青年城,翠屏区,,,,,6076
2室1厅,低楼层/共6层,55平米,暂无数据/其他,28.6,五金机电汽配城,翠屏区,,,,,5200
3室2厅,低楼层/共8层,78.4平米,暂无数据/精装,48.8,沿江路,翠屏区,,,,,6225
3室2厅,中楼层/共28层,89平米,暂无数据/其他,71.8,远达香榭里三期,叙州区,,,,,8068
2室1厅,低楼层/共24层,80.16平米,暂无数据/精装,44.3,金城印象,叙州区,,,,,5527
4室2厅,高楼层/共33层,81平米,暂无数据/其他,65.0,拉菲-香颂花园,叙州区,,,,,8025
2室2厅,中楼层/共6层,88平米,暂无数据/简装,56.0,宜都天成,叙州区,,,,,6364
3室2厅,高楼层/共30层,93.98平米,暂无数据/其他,88.0,邦泰临港国际,翠屏区,,,,,9364
